Source	Target	Species	Target Score	Target Description	SourceType	TargetType	TargetDegree	MultipleSpecies
miR-15b-5p	WEE1	Human	97	WEE1 G2 checkpoint kinase	miRNA	mRNA	1	3
miR-15b-5p	STOX2	Human	97	storkhead box 2	miRNA	mRNA	1	1
miR-15b-5p	CYP26B1	Human	97	cytochrome P450 family 26 subfamily B member 1	miRNA	mRNA	1	2
miR-193b-3p	DCAF7	Human	97	DDB1 and CUL4 associated factor 7	miRNA	mRNA	1	3
miR-193b-3p	RAPGEF6	Human	97	Rap guanine nucleotide exchange factor 6	miRNA	mRNA	1	1
miR-199a-3p	NOVA1	Human	97	NOVA alternative splicing regulator 1	miRNA	mRNA	1	3
miR-199a-3p	GNA12	Human	97	G protein subunit alpha 12	miRNA	mRNA	1	3
miR-199a-3p	SERPINE2	Human	97	serpin family E member 2	miRNA	mRNA	1	3
miR-214-3p	DMXL2	Human	97	Dmx like 2	miRNA	mRNA	2	1
miR-214-3p	MFN2	Human	97	mitofusin 2	miRNA	mRNA	2	2
miR-214-3p	SEC24C	Human	97	SEC24 homolog C, COPII coat complex component	miRNA	mRNA	1	3
miR-214-5p	IQSEC3	Human	97	IQ motif and Sec7 domain 3	miRNA	mRNA	1	1
miR-214-5p	KLF12	Human	97	Kruppel like factor 12	miRNA	mRNA	1	1
miR-214-5p	TFDP1	Human	97	transcription factor Dp-1	miRNA	mRNA	1	2
miR-29c-3p	COL7A1	Human	97	collagen type VII alpha 1 chain	miRNA	mRNA	1	2
miR-29c-3p	KDM5B	Human	97	lysine demethylase 5B	miRNA	mRNA	1	2
miR-29c-3p	C16orf72	Human	97	chromosome 16 open reading frame 72	miRNA	mRNA	1	1
miR-29c-3p	DAAM2	Human	97	dishevelled associated activator of morphogenesis 2	miRNA	mRNA	1	1
miR-29c-3p	DIO2	Human	97	iodothyronine deiodinase 2	miRNA	mRNA	1	2
miR-29c-3p	TET2	Human	97	tet methylcytosine dioxygenase 2	miRNA	mRNA	1	2
miR-29c-3p	XKR6	Human	97	XK related 6	miRNA	mRNA	1	1
miR-29c-3p	SPARC	Human	97	secreted protein acidic and cysteine rich	miRNA	mRNA	1	2
miR-29c-3p	PURG	Human	97	purine rich element binding protein G	miRNA	mRNA	1	2
miR-29c-3p	PTEN	Human	97	phosphatase and tensin homolog	miRNA	mRNA	1	2
miR-29c-3p	ADAMTS17	Human	97	ADAM metallopeptidase with thrombospondin type 1 motif 17	miRNA	mRNA	1	2
miR-29c-3p	HIF3A	Human	97	hypoxia inducible factor 3 subunit alpha	miRNA	mRNA	1	1
miR-29c-3p	COL5A2	Human	97	collagen type V alpha 2 chain	miRNA	mRNA	1	2
miR-29c-3p	COL2A1	Human	97	collagen type II alpha 1 chain	miRNA	mRNA	1	2
miR-29c-3p	ZBTB5	Human	97	zinc finger and BTB domain containing 5	miRNA	mRNA	1	2
miR-140-3p	FAIM	Human	96	Fas apoptotic inhibitory molecule	miRNA	mRNA	1	1
miR-140-3p	TTYH3	Human	96	tweety family member 3	miRNA	mRNA	1	1
miR-15b-5p	N4BP1	Human	96	NEDD4 binding protein 1	miRNA	mRNA	1	3
miR-15b-5p	PLPP1	Human	96	phospholipid phosphatase 1	miRNA	mRNA	1	2
miR-15b-5p	ZNF691	Human	96	zinc finger protein 691	miRNA	mRNA	1	1
miR-15b-5p	ZCCHC3	Human	96	zinc finger CCHC-type containing 3	miRNA	mRNA	1	2
miR-15b-5p	ARMH4	Human	96	armadillo-like helical domain containing 4	miRNA	mRNA	1	1
miR-15b-5p	SALL4	Human	96	spalt like transcription factor 4	miRNA	mRNA	1	2
miR-15b-5p	TBPL1	Human	96	TATA-box binding protein like 1	miRNA	mRNA	1	3
miR-15b-5p	CFAP45	Human	96	cilia and flagella associated protein 45	miRNA	mRNA	1	2
miR-15b-5p	CNOT6L	Human	96	CCR4-NOT transcription complex subunit 6 like	miRNA	mRNA	1	2
miR-15b-5p	SEMA6D	Human	96	semaphorin 6D	miRNA	mRNA	1	1
miR-15b-5p	RFX3	Human	96	regulatory factor X3	miRNA	mRNA	2	2
miR-15b-5p	PCMT1	Human	96	protein-L-isoaspartate (D-aspartate) O-methyltransferase	miRNA	mRNA	1	1
miR-15b-5p	EDA	Human	96	ectodysplasin A	miRNA	mRNA	1	2
miR-15b-5p	SEC24A	Human	96	SEC24 homolog A, COPII coat complex component	miRNA	mRNA	1	1
miR-15b-5p	KLHL2	Human	96	kelch like family member 2	miRNA	mRNA	1	2
miR-15b-5p	PAFAH1B1	Human	96	platelet activating factor acetylhydrolase 1b regulatory subunit 1	miRNA	mRNA	1	3
miR-15b-5p	PTPN3	Human	96	protein tyrosine phosphatase, non-receptor type 3	miRNA	mRNA	2	1
miR-15b-5p	CASR	Human	96	calcium sensing receptor	miRNA	mRNA	1	2
miR-15b-5p	MYLK	Human	96	myosin light chain kinase	miRNA	mRNA	1	1
miR-15b-5p	CCDC6	Human	96	coiled-coil domain containing 6	miRNA	mRNA	1	2
miR-15b-5p	NAPG	Human	96	NSF attachment protein gamma	miRNA	mRNA	1	1
miR-15b-5p	ZNF367	Human	96	zinc finger protein 367	miRNA	mRNA	1	1
miR-199a-3p	PAWR	Human	96	pro-apoptotic WT1 regulator	miRNA	mRNA	1	2
miR-199a-3p	CD2AP	Human	96	CD2 associated protein	miRNA	mRNA	2	2
miR-199a-3p	BCAR3	Human	96	BCAR3, NSP family adaptor protein	miRNA	mRNA	1	3
miR-199a-3p	GALNT7	Human	96	polypeptide N-acetylgalactosaminyltransferase 7	miRNA	mRNA	1	2
miR-199a-3p	CDNF	Human	96	cerebral dopamine neurotrophic factor	miRNA	mRNA	1	1
miR-199a-3p	PAK4	Human	96	p21 (RAC1) activated kinase 4	miRNA	mRNA	1	3
miR-199a-3p	CEP85L	Human	96	centrosomal protein 85 like	miRNA	mRNA	1	1
miR-214-3p	C17orf49	Human	96	chromosome 17 open reading frame 49	miRNA	mRNA	1	1
miR-214-3p	MAPK1	Human	96	mitogen-activated protein kinase 1	miRNA	mRNA	1	1
miR-214-3p	PGF	Human	96	placental growth factor	miRNA	mRNA	1	2
miR-214-3p	ATP2A3	Human	96	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	miRNA	mRNA	1	2
miR-214-3p	SNX12	Human	96	sorting nexin 12	miRNA	mRNA	1	2
miR-214-3p	VPS53	Human	96	VPS53, GARP complex subunit	miRNA	mRNA	1	1
miR-214-3p	PIM1	Human	96	Pim-1 proto-oncogene, serine/threonine kinase	miRNA	mRNA	1	2
miR-214-3p	CBL	Human	96	Cbl proto-oncogene	miRNA	mRNA	2	2
miR-214-3p	JPH1	Human	96	junctophilin 1	miRNA	mRNA	1	1
miR-214-3p	AKAP13	Human	96	A-kinase anchoring protein 13	miRNA	mRNA	1	1
miR-214-3p	HPSE2	Human	96	heparanase 2 (inactive)	miRNA	mRNA	1	1
miR-214-3p	BAZ2A	Human	96	bromodomain adjacent to zinc finger domain 2A	miRNA	mRNA	1	2
miR-214-5p	PPL	Human	96	periplakin	miRNA	mRNA	1	1
miR-29c-3p	HMCN1	Human	96	hemicentin 1	miRNA	mRNA	1	2
miR-29c-3p	PGAP2	Human	96	post-GPI attachment to proteins 2	miRNA	mRNA	1	2
miR-29c-3p	ABCE1	Human	96	ATP binding cassette subfamily E member 1	miRNA	mRNA	1	1
miR-29c-3p	ROBO1	Human	96	roundabout guidance receptor 1	miRNA	mRNA	1	2
miR-29c-3p	ADAMTS2	Human	96	ADAM metallopeptidase with thrombospondin type 1 motif 2	miRNA	mRNA	1	2
miR-29c-3p	ZNF282	Human	96	zinc finger protein 282	miRNA	mRNA	1	1
miR-29c-3p	CEP68	Human	96	centrosomal protein 68	miRNA	mRNA	1	1
miR-29c-3p	PXDN	Human	96	peroxidasin	miRNA	mRNA	1	2
miR-29c-3p	RAP1GDS1	Human	96	Rap1 GTPase-GDP dissociation stimulator 1	miRNA	mRNA	1	1
miR-29c-3p	AMER1	Human	96	APC membrane recruitment protein 1	miRNA	mRNA	2	2
miR-29c-3p	COL9A1	Human	96	collagen type IX alpha 1 chain	miRNA	mRNA	1	2
miR-29c-3p	RAB30	Human	96	RAB30, member RAS oncogene family	miRNA	mRNA	1	2
miR-29c-3p	VPS37C	Human	96	VPS37C, ESCRT-I subunit	miRNA	mRNA	1	1
miR-29c-3p	CHSY1	Human	96	chondroitin sulfate synthase 1	miRNA	mRNA	1	2
miR-29c-3p	RND3	Human	96	Rho family GTPase 3	miRNA	mRNA	1	2
miR-29c-3p	TRIM63	Human	96	tripartite motif containing 63	miRNA	mRNA	1	2
miR-29c-3p	REST	Human	96	RE1 silencing transcription factor	miRNA	mRNA	1	2
miR-29c-3p	PXYLP1	Human	96	2-phosphoxylose phosphatase 1	miRNA	mRNA	1	1
miR-29c-3p	ZNF346	Human	96	zinc finger protein 346	miRNA	mRNA	1	1
miR-29c-3p	DGKH	Human	96	diacylglycerol kinase eta	miRNA	mRNA	1	1
miR-29c-3p	TAF5	Human	96	TATA-box binding protein associated factor 5	miRNA	mRNA	1	2
miR-140-3p	SOBP	Human	95	sine oculis binding protein homolog	miRNA	mRNA	1	1
miR-140-3p	STAG2	Human	95	stromal antigen 2	miRNA	mRNA	1	2
miR-140-3p	GOPC	Human	95	golgi associated PDZ and coiled-coil motif containing	miRNA	mRNA	1	1
miR-140-3p	NDST1	Human	95	N-deacetylase and N-sulfotransferase 1	miRNA	mRNA	1	2
miR-140-3p	ETNK1	Human	95	ethanolamine kinase 1	miRNA	mRNA	2	2
miR-15b-5p	ZMAT3	Human	95	zinc finger matrin-type 3	miRNA	mRNA	1	1
miR-15b-5p	STXBP5	Human	95	syntaxin binding protein 5	miRNA	mRNA	1	1
miR-15b-5p	UBFD1	Human	95	ubiquitin family domain containing 1	miRNA	mRNA	1	2
miR-15b-5p	CHAC1	Human	95	ChaC glutathione specific gamma-glutamylcyclotransferase 1	miRNA	mRNA	1	2
miR-15b-5p	HIPK2	Human	95	homeodomain interacting protein kinase 2	miRNA	mRNA	1	1
miR-15b-5p	UBE4A	Human	95	ubiquitination factor E4A	miRNA	mRNA	1	1
miR-15b-5p	CEP55	Human	95	centrosomal protein 55	miRNA	mRNA	1	1
miR-15b-5p	MKX	Human	95	mohawk homeobox	miRNA	mRNA	1	1
miR-15b-5p	CBX2	Human	95	chromobox 2	miRNA	mRNA	1	1
miR-15b-5p	TNFSF13B	Human	95	TNF superfamily member 13b	miRNA	mRNA	1	1
miR-15b-5p	IPPK	Human	95	inositol-pentakisphosphate 2-kinase	miRNA	mRNA	1	2
miR-15b-5p	VEGFA	Human	95	vascular endothelial growth factor A	miRNA	mRNA	2	3
miR-15b-5p	SLC25A37	Human	95	solute carrier family 25 member 37	miRNA	mRNA	1	1
miR-15b-5p	ZBTB34	Human	95	zinc finger and BTB domain containing 34	miRNA	mRNA	2	2
miR-15b-5p	KIF5B	Human	95	kinesin family member 5B	miRNA	mRNA	1	2
miR-15b-5p	SETD3	Human	95	SET domain containing 3, actin histidine methyltransferase	miRNA	mRNA	1	2
miR-15b-5p	PAFAH1B2	Human	95	platelet activating factor acetylhydrolase 1b catalytic subunit 2	miRNA	mRNA	1	1
miR-15b-5p	MAP2K1	Human	95	mitogen-activated protein kinase kinase 1	miRNA	mRNA	1	3
miR-15b-5p	SMURF1	Human	95	SMAD specific E3 ubiquitin protein ligase 1	miRNA	mRNA	1	1
miR-15b-5p	GABARAPL1	Human	95	GABA type A receptor associated protein like 1	miRNA	mRNA	1	1
miR-15b-5p	USP25	Human	95	ubiquitin specific peptidase 25	miRNA	mRNA	1	1
miR-15b-5p	STXBP3	Human	95	syntaxin binding protein 3	miRNA	mRNA	1	1
miR-15b-5p	FGFR1	Human	95	fibroblast growth factor receptor 1	miRNA	mRNA	2	2
miR-15b-5p	MYBL1	Human	95	MYB proto-oncogene like 1	miRNA	mRNA	1	2
miR-15b-5p	GPATCH8	Human	95	G-patch domain containing 8	miRNA	mRNA	1	2
miR-15b-5p	CBX4	Human	95	chromobox 4	miRNA	mRNA	1	1
miR-193b-3p	ERBB4	Human	95	erb-b2 receptor tyrosine kinase 4	miRNA	mRNA	2	3
miR-193b-3p	ABI2	Human	95	abl interactor 2	miRNA	mRNA	1	1
miR-199a-3p	PHLPP2	Human	95	PH domain and leucine rich repeat protein phosphatase 2	miRNA	mRNA	1	1
miR-199a-3p	ITGB8	Human	95	integrin subunit beta 8	miRNA	mRNA	1	2
miR-199a-3p	PPP2R5E	Human	95	protein phosphatase 2 regulatory subunit B'epsilon	miRNA	mRNA	1	2
miR-199a-3p	MAP3K5	Human	95	mitogen-activated protein kinase kinase kinase 5	miRNA	mRNA	1	1
miR-199a-3p	ERBB4	Human	95	erb-b2 receptor tyrosine kinase 4	miRNA	mRNA	2	3
miR-199a-3p	TUBGCP3	Human	95	tubulin gamma complex associated protein 3	miRNA	mRNA	1	3
miR-199a-3p	SINHCAF	Human	95	SIN3-HDAC complex associated factor	miRNA	mRNA	1	3
miR-199a-3p	ASAP2	Human	95	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	miRNA	mRNA	2	1
miR-214-3p	MLLT10	Human	95	MLLT10, histone lysine methyltransferase DOT1L cofactor	miRNA	mRNA	1	2
miR-214-3p	TRA2B	Human	95	transformer 2 beta homolog	miRNA	mRNA	1	2
miR-214-3p	RUBCN	Human	95	rubicon autophagy regulator	miRNA	mRNA	1	2
