Source	Target	Species	Target Score	Target Description	SourceType	TargetType	TargetDegree	MultipleSpecies
miR-214-3p	RBM34	Human	95	RNA binding motif protein 34	miRNA	mRNA	1	1
miR-214-3p	HR	Human	95	HR, lysine demethylase and nuclear receptor corepressor	miRNA	mRNA	1	1
miR-214-3p	FBXO32	Human	95	F-box protein 32	miRNA	mRNA	1	1
miR-214-3p	SLC8A1	Human	95	solute carrier family 8 member A1	miRNA	mRNA	1	3
miR-214-3p	IRS1	Human	95	insulin receptor substrate 1	miRNA	mRNA	1	1
miR-214-3p	CTSS	Human	95	cathepsin S	miRNA	mRNA	1	1
miR-214-3p	PLAGL2	Human	95	PLAG1 like zinc finger 2	miRNA	mRNA	1	1
miR-29c-3p	SLC5A8	Human	95	solute carrier family 5 member 8	miRNA	mRNA	1	1
miR-29c-3p	HAPLN3	Human	95	hyaluronan and proteoglycan link protein 3	miRNA	mRNA	1	1
miR-29c-3p	DNMT3B	Human	95	DNA methyltransferase 3 beta	miRNA	mRNA	1	2
miR-29c-3p	TDG	Human	95	thymine DNA glycosylase	miRNA	mRNA	1	1
miR-29c-3p	LIF	Human	95	LIF, interleukin 6 family cytokine	miRNA	mRNA	1	2
miR-29c-3p	CDK6	Human	95	cyclin dependent kinase 6	miRNA	mRNA	1	2
miR-29c-3p	CLDN1	Human	95	claudin 1	miRNA	mRNA	1	3
miR-29c-3p	SGMS2	Human	95	sphingomyelin synthase 2	miRNA	mRNA	1	1
miR-29c-3p	PRR14L	Human	95	proline rich 14 like	miRNA	mRNA	2	2
miR-29c-3p	FAM241A	Human	95	family with sequence similarity 241 member A	miRNA	mRNA	1	1
miR-29c-3p	TRAF3	Human	95	TNF receptor associated factor 3	miRNA	mRNA	1	1
miR-29c-3p	ASAP2	Human	95	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	miRNA	mRNA	2	1
miR-29c-3p	PDIK1L	Human	95	PDLIM1 interacting kinase 1 like	miRNA	mRNA	1	2
miR-29c-3p	OSBPL11	Human	95	oxysterol binding protein like 11	miRNA	mRNA	1	1
miR-29c-3p	ZHX3	Human	95	zinc fingers and homeoboxes 3	miRNA	mRNA	1	1
miR-29c-3p	LYSMD1	Human	95	LysM domain containing 1	miRNA	mRNA	1	2
miR-140-3p	CXCL8	Human	94	C-X-C motif chemokine ligand 8	miRNA	mRNA	1	1
miR-140-3p	SGIP1	Human	94	SH3 domain GRB2 like endophilin interacting protein 1	miRNA	mRNA	1	1
miR-140-3p	CAND1	Human	94	cullin associated and neddylation dissociated 1	miRNA	mRNA	1	1
miR-140-3p	PCDH8	Human	94	protocadherin 8	miRNA	mRNA	1	2
miR-140-3p	STK17B	Human	94	serine/threonine kinase 17b	miRNA	mRNA	1	1
miR-140-3p	SMIM13	Human	94	small integral membrane protein 13	miRNA	mRNA	1	1
miR-15b-5p	JPH3	Human	94	junctophilin 3	miRNA	mRNA	1	1
miR-15b-5p	USP42	Human	94	ubiquitin specific peptidase 42	miRNA	mRNA	1	3
miR-15b-5p	STRADB	Human	94	STE20 related adaptor beta	miRNA	mRNA	1	2
miR-15b-5p	RNF217	Human	94	ring finger protein 217	miRNA	mRNA	1	2
miR-15b-5p	TRANK1	Human	94	tetratricopeptide repeat and ankyrin repeat containing 1	miRNA	mRNA	1	2
miR-15b-5p	LRRN3	Human	94	leucine rich repeat neuronal 3	miRNA	mRNA	1	1
miR-15b-5p	ZFHX4	Human	94	zinc finger homeobox 4	miRNA	mRNA	1	3
miR-15b-5p	ZNF622	Human	94	zinc finger protein 622	miRNA	mRNA	1	1
miR-15b-5p	PTPRR	Human	94	protein tyrosine phosphatase, receptor type R	miRNA	mRNA	1	2
miR-15b-5p	ATXN2	Human	94	ataxin 2	miRNA	mRNA	1	2
miR-15b-5p	OOEP	Human	94	oocyte expressed protein	miRNA	mRNA	1	1
miR-15b-5p	INSR	Human	94	insulin receptor	miRNA	mRNA	1	1
miR-15b-5p	P3H2	Human	94	prolyl 3-hydroxylase 2	miRNA	mRNA	1	1
miR-15b-5p	ZBTB39	Human	94	zinc finger and BTB domain containing 39	miRNA	mRNA	2	3
miR-15b-5p	SRPRA	Human	94	SRP receptor subunit alpha	miRNA	mRNA	1	2
miR-15b-5p	PLXNA4	Human	94	plexin A4	miRNA	mRNA	1	2
miR-15b-5p	WNK3	Human	94	WNK lysine deficient protein kinase 3	miRNA	mRNA	1	1
miR-15b-5p	PPP1R11	Human	94	protein phosphatase 1 regulatory inhibitor subunit 11	miRNA	mRNA	1	1
miR-15b-5p	LATS1	Human	94	large tumor suppressor kinase 1	miRNA	mRNA	1	2
miR-15b-5p	DDX3X	Human	94	DEAD-box helicase 3 X-linked	miRNA	mRNA	2	2
miR-15b-5p	LRIG2	Human	94	leucine rich repeats and immunoglobulin like domains 2	miRNA	mRNA	1	1
miR-15b-5p	ARHGDIA	Human	94	Rho GDP dissociation inhibitor alpha	miRNA	mRNA	1	2
miR-15b-5p	PPP2R1B	Human	94	protein phosphatase 2 scaffold subunit Abeta	miRNA	mRNA	1	1
miR-15b-5p	DCP1A	Human	94	decapping mRNA 1A	miRNA	mRNA	1	2
miR-15b-5p	CHEK1	Human	94	checkpoint kinase 1	miRNA	mRNA	1	2
miR-15b-5p	OMG	Human	94	oligodendrocyte myelin glycoprotein	miRNA	mRNA	1	2
miR-15b-5p	GALNT13	Human	94	polypeptide N-acetylgalactosaminyltransferase 13	miRNA	mRNA	1	1
miR-193b-3p	DMXL2	Human	94	Dmx like 2	miRNA	mRNA	2	1
miR-193b-3p	FLI1	Human	94	Fli-1 proto-oncogene, ETS transcription factor	miRNA	mRNA	1	1
miR-199a-3p	LIN28B	Human	94	lin-28 homolog B	miRNA	mRNA	1	2
miR-199a-3p	NLRP1	Human	94	NLR family pyrin domain containing 1	miRNA	mRNA	1	1
miR-199a-3p	RUNX1	Human	94	runt related transcription factor 1	miRNA	mRNA	1	2
miR-199a-3p	ATRX	Human	94	ATRX, chromatin remodeler	miRNA	mRNA	1	1
miR-199a-3p	APLP2	Human	94	amyloid beta precursor like protein 2	miRNA	mRNA	1	3
miR-199a-3p	SCD	Human	94	stearoyl-CoA desaturase	miRNA	mRNA	1	1
miR-199a-3p	G3BP2	Human	94	G3BP stress granule assembly factor 2	miRNA	mRNA	1	2
miR-199a-3p	SLC39A10	Human	94	solute carrier family 39 member 10	miRNA	mRNA	1	3
miR-199a-3p	ARHGEF3	Human	94	Rho guanine nucleotide exchange factor 3	miRNA	mRNA	1	1
miR-199a-3p	ZHX1	Human	94	zinc fingers and homeoboxes 1	miRNA	mRNA	1	3
miR-199a-3p	RAPH1	Human	94	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	miRNA	mRNA	1	2
miR-199a-3p	SEMA3A	Human	94	semaphorin 3A	miRNA	mRNA	2	2
miR-199a-3p	RFX3	Human	94	regulatory factor X3	miRNA	mRNA	2	2
miR-199a-3p	ADAM10	Human	94	ADAM metallopeptidase domain 10	miRNA	mRNA	2	2
miR-214-3p	FGF14	Human	94	fibroblast growth factor 14	miRNA	mRNA	1	2
miR-214-3p	EXOC3L2	Human	94	exocyst complex component 3 like 2	miRNA	mRNA	1	1
miR-214-3p	TBL1XR1	Human	94	transducin beta like 1 X-linked receptor 1	miRNA	mRNA	2	2
miR-214-3p	COP1	Human	94	COP1, E3 ubiquitin ligase	miRNA	mRNA	2	1
miR-214-3p	PYM1	Human	94	PYM homolog 1, exon junction complex associated factor	miRNA	mRNA	1	1
miR-214-3p	PRR14L	Human	94	proline rich 14 like	miRNA	mRNA	2	2
miR-214-3p	IPO7	Human	94	importin 7	miRNA	mRNA	2	2
miR-214-3p	QKI	Human	94	QKI, KH domain containing RNA binding	miRNA	mRNA	2	1
miR-214-3p	DLL1	Human	94	delta like canonical Notch ligand 1	miRNA	mRNA	2	2
miR-214-3p	ZBTB20	Human	94	zinc finger and BTB domain containing 20	miRNA	mRNA	1	2
miR-214-5p	KLF5	Human	94	Kruppel like factor 5	miRNA	mRNA	1	1
miR-29c-3p	PCDHAC1	Human	94	protocadherin alpha subfamily C, 1	miRNA	mRNA	1	2
miR-29c-3p	LOX	Human	94	lysyl oxidase	miRNA	mRNA	1	1
miR-29c-3p	LIN7A	Human	94	lin-7 homolog A, crumbs cell polarity complex component	miRNA	mRNA	1	2
miR-29c-3p	REV3L	Human	94	REV3 like, DNA directed polymerase zeta catalytic subunit	miRNA	mRNA	1	1
miR-29c-3p	MINAR1	Human	94	membrane integral NOTCH2 associated receptor 1	miRNA	mRNA	1	1
miR-29c-3p	PCDHAC2	Human	94	protocadherin alpha subfamily C, 2	miRNA	mRNA	1	2
miR-29c-3p	PCDHA13	Human	94	protocadherin alpha 13	miRNA	mRNA	1	1
miR-29c-3p	PCDHA10	Human	94	protocadherin alpha 10	miRNA	mRNA	1	2
miR-29c-3p	PCDHA5	Human	94	protocadherin alpha 5	miRNA	mRNA	1	2
miR-29c-3p	PCDHA6	Human	94	protocadherin alpha 6	miRNA	mRNA	1	2
miR-29c-3p	SERPINH1	Human	94	serpin family H member 1	miRNA	mRNA	1	2
miR-29c-3p	PCDHA11	Human	94	protocadherin alpha 11	miRNA	mRNA	1	2
miR-29c-3p	ARPP19	Human	94	cAMP regulated phosphoprotein 19	miRNA	mRNA	1	2
miR-29c-3p	PCDHA3	Human	94	protocadherin alpha 3	miRNA	mRNA	1	2
miR-29c-3p	VEGFA	Human	94	vascular endothelial growth factor A	miRNA	mRNA	2	3
miR-29c-3p	PCDHA9	Human	94	protocadherin alpha 9	miRNA	mRNA	1	2
miR-29c-3p	IFI30	Human	94	IFI30, lysosomal thiol reductase	miRNA	mRNA	1	2
miR-29c-3p	TLL1	Human	94	tolloid like 1	miRNA	mRNA	2	3
miR-29c-3p	FRAT2	Human	94	FRAT2, WNT signaling pathway regulator	miRNA	mRNA	1	2
miR-29c-3p	DYNLT1	Human	94	dynein light chain Tctex-type 1	miRNA	mRNA	1	1
miR-29c-3p	COL4A4	Human	94	collagen type IV alpha 4 chain	miRNA	mRNA	1	1
miR-29c-3p	SGCZ	Human	94	sarcoglycan zeta	miRNA	mRNA	1	1
miR-29c-3p	PCDHA4	Human	94	protocadherin alpha 4	miRNA	mRNA	1	3
miR-29c-3p	RGS1	Human	94	regulator of G protein signaling 1	miRNA	mRNA	1	1
miR-29c-3p	KDELC1	Human	94	KDEL motif containing 1	miRNA	mRNA	1	1
miR-29c-3p	PCDHA1	Human	94	protocadherin alpha 1	miRNA	mRNA	1	2
miR-29c-3p	MAP6	Human	94	microtubule associated protein 6	miRNA	mRNA	1	2
miR-29c-3p	CSRNP2	Human	94	cysteine and serine rich nuclear protein 2	miRNA	mRNA	1	1
miR-29c-3p	PMP22	Human	94	peripheral myelin protein 22	miRNA	mRNA	1	2
miR-29c-3p	PCDHA7	Human	94	protocadherin alpha 7	miRNA	mRNA	1	2
miR-29c-3p	KIF26A	Human	94	kinesin family member 26A	miRNA	mRNA	1	2
miR-29c-3p	PCDHA2	Human	94	protocadherin alpha 2	miRNA	mRNA	1	2
miR-29c-3p	DGKD	Human	94	diacylglycerol kinase delta	miRNA	mRNA	1	2
miR-29c-3p	PCDHA12	Human	94	protocadherin alpha 12	miRNA	mRNA	1	2
miR-29c-3p	TPK1	Human	94	thiamin pyrophosphokinase 1	miRNA	mRNA	1	2
miR-140-3p	CCDC173	Human	93	coiled-coil domain containing 173	miRNA	mRNA	1	1
miR-140-3p	SPRED2	Human	93	sprouty related EVH1 domain containing 2	miRNA	mRNA	1	1
miR-15b-5p	ACTR2	Human	93	ARP2 actin related protein 2 homolog	miRNA	mRNA	1	2
miR-15b-5p	GHR	Human	93	growth hormone receptor	miRNA	mRNA	1	2
miR-15b-5p	BTAF1	Human	93	B-TFIID TATA-box binding protein associated factor 1	miRNA	mRNA	2	1
miR-15b-5p	AVL9	Human	93	AVL9 cell migration associated	miRNA	mRNA	1	1
miR-15b-5p	FBXL20	Human	93	F-box and leucine rich repeat protein 20	miRNA	mRNA	1	1
miR-15b-5p	DIXDC1	Human	93	DIX domain containing 1	miRNA	mRNA	1	2
miR-15b-5p	CCND1	Human	93	cyclin D1	miRNA	mRNA	1	1
miR-15b-5p	SEPT2	Human	93	septin 2	miRNA	mRNA	1	1
miR-15b-5p	MFN2	Human	93	mitofusin 2	miRNA	mRNA	2	2
miR-15b-5p	E2F3	Human	93	E2F transcription factor 3	miRNA	mRNA	1	2
miR-15b-5p	WNT3A	Human	93	Wnt family member 3A	miRNA	mRNA	1	2
miR-15b-5p	CHD2	Human	93	chromodomain helicase DNA binding protein 2	miRNA	mRNA	1	2
miR-15b-5p	ZNRF2	Human	93	zinc and ring finger 2	miRNA	mRNA	1	2
miR-15b-5p	SOCS6	Human	93	suppressor of cytokine signaling 6	miRNA	mRNA	1	3
miR-15b-5p	HSPA4L	Human	93	heat shock protein family A (Hsp70) member 4 like	miRNA	mRNA	1	1
miR-15b-5p	SEL1L3	Human	93	SEL1L family member 3	miRNA	mRNA	1	2
miR-15b-5p	FOXK1	Human	93	forkhead box K1	miRNA	mRNA	1	1
miR-15b-5p	SYT3	Human	93	synaptotagmin 3	miRNA	mRNA	1	1
miR-15b-5p	HSPG2	Human	93	heparan sulfate proteoglycan 2	miRNA	mRNA	1	1
miR-15b-5p	CD2AP	Human	93	CD2 associated protein	miRNA	mRNA	2	2
miR-15b-5p	SUCO	Human	93	SUN domain containing ossification factor	miRNA	mRNA	1	2
miR-15b-5p	MYO5A	Human	93	myosin VA	miRNA	mRNA	1	1
miR-15b-5p	GATAD2A	Human	93	GATA zinc finger domain containing 2A	miRNA	mRNA	1	1
miR-15b-5p	AMOTL1	Human	93	angiomotin like 1	miRNA	mRNA	1	2
miR-15b-5p	KANK1	Human	93	KN motif and ankyrin repeat domains 1	miRNA	mRNA	1	1
miR-15b-5p	RBPJ	Human	93	recombination signal binding protein for immunoglobulin kappa J region	miRNA	mRNA	1	1
miR-15b-5p	SYDE2	Human	93	synapse defective Rho GTPase homolog 2	miRNA	mRNA	1	2
miR-15b-5p	TMEM245	Human	93	transmembrane protein 245	miRNA	mRNA	1	1
miR-15b-5p	RPS6KA3	Human	93	ribosomal protein S6 kinase A3	miRNA	mRNA	1	1
miR-15b-5p	PLXNC1	Human	93	plexin C1	miRNA	mRNA	1	2
miR-15b-5p	VPS33B	Human	93	VPS33B, late endosome and lysosome associated	miRNA	mRNA	1	1
miR-15b-5p	KIF21A	Human	93	kinesin family member 21A	miRNA	mRNA	1	2
miR-193b-3p	SOS2	Human	93	SOS Ras/Rho guanine nucleotide exchange factor 2	miRNA	mRNA	1	3
miR-193b-3p	VN1R1	Human	93	vomeronasal 1 receptor 1	miRNA	mRNA	1	1
miR-193b-3p	PLAG1	Human	93	PLAG1 zinc finger	miRNA	mRNA	2	1
miR-199a-3p	WFDC8	Human	93	WAP four-disulfide core domain 8	miRNA	mRNA	1	1
miR-199a-3p	ALX4	Human	93	ALX homeobox 4	miRNA	mRNA	1	2
miR-199a-3p	CDK7	Human	93	cyclin dependent kinase 7	miRNA	mRNA	1	1
miR-199a-3p	ACVR2A	Human	93	activin A receptor type 2A	miRNA	mRNA	2	2
miR-199a-3p	KIAA0319L	Human	93	KIAA0319 like	miRNA	mRNA	1	1
miR-199a-3p	QKI	Human	93	QKI, KH domain containing RNA binding	miRNA	mRNA	2	1
miR-199a-3p	RB1	Human	93	RB transcriptional corepressor 1	miRNA	mRNA	1	3
miR-199a-3p	NACC1	Human	93	nucleus accumbens associated 1	miRNA	mRNA	1	1
miR-214-3p	CPSF4	Human	93	cleavage and polyadenylation specific factor 4	miRNA	mRNA	1	3
miR-214-3p	PROX1	Human	93	prospero homeobox 1	miRNA	mRNA	1	1
miR-214-3p	MLXIP	Human	93	MLX interacting protein	miRNA	mRNA	1	2
miR-214-3p	TNPO1	Human	93	transportin 1	miRNA	mRNA	1	2
miR-214-3p	BTBD1	Human	93	BTB domain containing 1	miRNA	mRNA	1	1
miR-214-3p	RPUSD1	Human	93	RNA pseudouridine synthase domain containing 1	miRNA	mRNA	1	1
miR-214-3p	FGFR1	Human	93	fibroblast growth factor receptor 1	miRNA	mRNA	2	2
miR-214-5p	NXF1	Human	93	nuclear RNA export factor 1	miRNA	mRNA	1	2
miR-214-5p	SOX4	Human	93	SRY-box 4	miRNA	mRNA	1	1
miR-214-5p	BPGM	Human	93	bisphosphoglycerate mutase	miRNA	mRNA	1	1
miR-29c-3p	ADAMTS7	Human	93	ADAM metallopeptidase with thrombospondin type 1 motif 7	miRNA	mRNA	1	1
miR-29c-3p	IREB2	Human	93	iron responsive element binding protein 2	miRNA	mRNA	1	2
miR-29c-3p	ATP1B4	Human	93	ATPase Na+/K+ transporting family member beta 4	miRNA	mRNA	1	2
miR-29c-3p	SP1	Human	93	Sp1 transcription factor	miRNA	mRNA	1	2
miR-29c-3p	RNF19A	Human	93	ring finger protein 19A, RBR E3 ubiquitin protein ligase	miRNA	mRNA	1	2
miR-29c-3p	SIDT2	Human	93	SID1 transmembrane family member 2	miRNA	mRNA	1	1
miR-29c-3p	SLC16A14	Human	93	solute carrier family 16 member 14	miRNA	mRNA	1	1
miR-29c-3p	CCNYL1	Human	93	cyclin Y like 1	miRNA	mRNA	1	2
miR-29c-3p	CAV2	Human	93	caveolin 2	miRNA	mRNA	1	1
miR-29c-3p	MXD1	Human	93	MAX dimerization protein 1	miRNA	mRNA	1	1
miR-29c-3p	ZFP36L1	Human	93	ZFP36 ring finger protein like 1	miRNA	mRNA	1	1
miR-29c-3p	COL15A1	Human	93	collagen type XV alpha 1 chain	miRNA	mRNA	1	2
miR-29c-3p	PPIC	Human	93	peptidylprolyl isomerase C	miRNA	mRNA	1	2
miR-29c-3p	EIF4E2	Human	93	eukaryotic translation initiation factor 4E family member 2	miRNA	mRNA	1	1
miR-29c-3p	CBX6	Human	93	chromobox 6	miRNA	mRNA	1	1
miR-29c-3p	ELN	Human	93	elastin	miRNA	mRNA	1	2
miR-29c-3p	COL4A2	Human	93	collagen type IV alpha 2 chain	miRNA	mRNA	1	2
miR-29c-3p	FBXW9	Human	93	F-box and WD repeat domain containing 9	miRNA	mRNA	1	1
miR-29c-3p	ISG20L2	Human	93	interferon stimulated exonuclease gene 20 like 2	miRNA	mRNA	1	1
miR-29c-3p	SGK1	Human	93	serum/glucocorticoid regulated kinase 1	miRNA	mRNA	1	1
miR-29c-3p	FOXJ2	Human	93	forkhead box J2	miRNA	mRNA	1	2
miR-29c-3p	TAF11	Human	93	TATA-box binding protein associated factor 11	miRNA	mRNA	1	1
miR-29c-3p	ASXL3	Human	93	ASXL transcriptional regulator 3	miRNA	mRNA	1	1
miR-29c-3p	RLF	Human	93	rearranged L-myc fusion	miRNA	mRNA	1	1
miR-29c-3p	RNF39	Human	93	ring finger protein 39	miRNA	mRNA	1	1
miR-29c-3p	TRAF4	Human	93	TNF receptor associated factor 4	miRNA	mRNA	1	2
miR-29c-3p	TMEM236	Human	93	transmembrane protein 236	miRNA	mRNA	1	1
miR-140-3p	DENND6A	Human	92	DENN domain containing 6A	miRNA	mRNA	2	1
miR-140-3p	UBAP2L	Human	92	ubiquitin associated protein 2 like	miRNA	mRNA	1	1
miR-140-3p	DNM1	Human	92	dynamin 1	miRNA	mRNA	1	1
miR-140-3p	ANAPC1	Human	92	anaphase promoting complex subunit 1	miRNA	mRNA	1	2
miR-140-3p	PLPP3	Human	92	phospholipid phosphatase 3	miRNA	mRNA	1	1
miR-140-3p	CBL	Human	92	Cbl proto-oncogene	miRNA	mRNA	2	2
miR-15b-5p	ZMYM2	Human	92	zinc finger MYM-type containing 2	miRNA	mRNA	1	2
miR-15b-5p	SUMO3	Human	92	small ubiquitin-like modifier 3	miRNA	mRNA	1	1
miR-15b-5p	CACUL1	Human	92	CDK2 associated cullin domain 1	miRNA	mRNA	1	3
miR-15b-5p	PIAS2	Human	92	protein inhibitor of activated STAT 2	miRNA	mRNA	1	1
miR-15b-5p	ACVR2A	Human	92	activin A receptor type 2A	miRNA	mRNA	2	2
miR-15b-5p	TBP	Human	92	TATA-box binding protein	miRNA	mRNA	1	2
miR-15b-5p	STK33	Human	92	serine/threonine kinase 33	miRNA	mRNA	1	1
miR-15b-5p	SLIT2	Human	92	slit guidance ligand 2	miRNA	mRNA	1	3
miR-15b-5p	XPO7	Human	92	exportin 7	miRNA	mRNA	1	2
miR-15b-5p	SMAD7	Human	92	SMAD family member 7	miRNA	mRNA	1	3
miR-15b-5p	YTHDC1	Human	92	YTH domain containing 1	miRNA	mRNA	1	2
miR-15b-5p	SLC12A2	Human	92	solute carrier family 12 member 2	miRNA	mRNA	1	2
miR-15b-5p	POU2F1	Human	92	POU class 2 homeobox 1	miRNA	mRNA	1	2
miR-15b-5p	COP1	Human	92	COP1, E3 ubiquitin ligase	miRNA	mRNA	2	1
miR-15b-5p	ADAMTS3	Human	92	ADAM metallopeptidase with thrombospondin type 1 motif 3	miRNA	mRNA	2	1
miR-15b-5p	AGO4	Human	92	argonaute RISC catalytic component 4	miRNA	mRNA	1	1
miR-15b-5p	KCNK10	Human	92	potassium two pore domain channel subfamily K member 10	miRNA	mRNA	1	1
miR-15b-5p	ASH1L	Human	92	ASH1 like histone lysine methyltransferase	miRNA	mRNA	1	3
miR-15b-5p	RAD23B	Human	92	RAD23 homolog B, nucleotide excision repair protein	miRNA	mRNA	1	2
miR-15b-5p	SIRT4	Human	92	sirtuin 4	miRNA	mRNA	1	1
miR-15b-5p	TMEM178B	Human	92	transmembrane protein 178B	miRNA	mRNA	1	2
miR-15b-5p	RNF10	Human	92	ring finger protein 10	miRNA	mRNA	1	1
miR-15b-5p	IFT74	Human	92	intraflagellar transport 74	miRNA	mRNA	1	1
miR-15b-5p	PTH	Human	92	parathyroid hormone	miRNA	mRNA	1	3
miR-15b-5p	G2E3	Human	92	G2/M-phase specific E3 ubiquitin protein ligase	miRNA	mRNA	1	1
miR-15b-5p	ATXN7L2	Human	92	ataxin 7 like 2	miRNA	mRNA	1	1
miR-15b-5p	LITAF	Human	92	lipopolysaccharide induced TNF factor	miRNA	mRNA	1	1
miR-15b-5p	KRTAP11-1	Human	92	keratin associated protein 11-1	miRNA	mRNA	1	2
miR-15b-5p	TRABD2B	Human	92	TraB domain containing 2B	miRNA	mRNA	1	2
miR-15b-5p	ZNF449	Human	92	zinc finger protein 449	miRNA	mRNA	1	1
miR-15b-5p	RETREG2	Human	92	reticulophagy regulator family member 2	miRNA	mRNA	1	1
miR-15b-5p	DLL1	Human	92	delta like canonical Notch ligand 1	miRNA	mRNA	2	2
miR-15b-5p	NHLRC2	Human	92	NHL repeat containing 2	miRNA	mRNA	1	1
miR-15b-5p	SLC20A2	Human	92	solute carrier family 20 member 2	miRNA	mRNA	2	3
miR-15b-5p	NAA25	Human	92	N(alpha)-acetyltransferase 25, NatB auxiliary subunit	miRNA	mRNA	2	1
miR-15b-5p	LAMP3	Human	92	lysosomal associated membrane protein 3	miRNA	mRNA	1	1
miR-15b-5p	TMEM183A	Human	92	transmembrane protein 183A	miRNA	mRNA	2	2
miR-15b-5p	CDC25A	Human	92	cell division cycle 25A	miRNA	mRNA	1	2
miR-15b-5p	MEOX2	Human	92	mesenchyme homeobox 2	miRNA	mRNA	1	1
miR-15b-5p	CPEB3	Human	92	cytoplasmic polyadenylation element binding protein 3	miRNA	mRNA	1	2
miR-15b-5p	MEX3C	Human	92	mex-3 RNA binding family member C	miRNA	mRNA	1	2
miR-15b-5p	PCDH17	Human	92	protocadherin 17	miRNA	mRNA	2	3
miR-193b-3p	FHDC1	Human	92	FH2 domain containing 1	miRNA	mRNA	1	2
miR-193b-3p	KCNJ2	Human	92	potassium voltage-gated channel subfamily J member 2	miRNA	mRNA	2	2
miR-193b-3p	IL17RD	Human	92	interleukin 17 receptor D	miRNA	mRNA	2	2
miR-199a-3p	PCDH7	Human	92	protocadherin 7	miRNA	mRNA	1	1
miR-199a-3p	COL12A1	Human	92	collagen type XII alpha 1 chain	miRNA	mRNA	1	2
miR-199a-3p	TPPP	Human	92	tubulin polymerization promoting protein	miRNA	mRNA	1	2
miR-199a-3p	PTPN3	Human	92	protein tyrosine phosphatase, non-receptor type 3	miRNA	mRNA	2	1
miR-199a-3p	EPG5	Human	92	ectopic P-granules autophagy protein 5 homolog	miRNA	mRNA	1	1
miR-214-3p	RAPGEFL1	Human	92	Rap guanine nucleotide exchange factor like 1	miRNA	mRNA	2	2
miR-214-3p	KIAA0355	Human	92	KIAA0355	miRNA	mRNA	1	1
miR-214-3p	FNDC5	Human	92	fibronectin type III domain containing 5	miRNA	mRNA	1	2
miR-214-3p	SLC23A2	Human	92	solute carrier family 23 member 2	miRNA	mRNA	1	1
miR-214-3p	LHX6	Human	92	LIM homeobox 6	miRNA	mRNA	1	1
miR-214-3p	IL17RD	Human	92	interleukin 17 receptor D	miRNA	mRNA	2	2
miR-214-3p	USP46	Human	92	ubiquitin specific peptidase 46	miRNA	mRNA	1	1
miR-214-3p	LRP2	Human	92	LDL receptor related protein 2	miRNA	mRNA	2	3
miR-214-3p	GPN1	Human	92	GPN-loop GTPase 1	miRNA	mRNA	1	1
miR-214-3p	F8	Human	92	coagulation factor VIII	miRNA	mRNA	1	1
miR-214-3p	PIK3CB	Human	92	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	miRNA	mRNA	1	1
miR-214-3p	PPM1L	Human	92	protein phosphatase, Mg2+/Mn2+ dependent 1L	miRNA	mRNA	1	1
miR-214-3p	OPRK1	Human	92	opioid receptor kappa 1	miRNA	mRNA	1	1
miR-214-3p	DAGLA	Human	92	diacylglycerol lipase alpha	miRNA	mRNA	1	1
miR-214-5p	EYA1	Human	92	EYA transcriptional coactivator and phosphatase 1	miRNA	mRNA	1	2
miR-214-5p	UNC5A	Human	92	unc-5 netrin receptor A	miRNA	mRNA	1	1
miR-29c-3p	MYCN	Human	92	MYCN proto-oncogene, bHLH transcription factor	miRNA	mRNA	1	2
miR-29c-3p	DENND6A	Human	92	DENN domain containing 6A	miRNA	mRNA	2	1
miR-29c-3p	MBTD1	Human	92	mbt domain containing 1	miRNA	mRNA	1	1
miR-29c-3p	DTWD2	Human	92	DTW domain containing 2	miRNA	mRNA	1	1
miR-29c-3p	SS18L1	Human	92	SS18L1, nBAF chromatin remodeling complex subunit	miRNA	mRNA	1	1
miR-29c-3p	ULBP2	Human	92	UL16 binding protein 2	miRNA	mRNA	1	1
miR-29c-3p	ING3	Human	92	inhibitor of growth family member 3	miRNA	mRNA	1	1
miR-29c-3p	PRKAB2	Human	92	protein kinase AMP-activated non-catalytic subunit beta 2	miRNA	mRNA	1	1
miR-29c-3p	NLRX1	Human	92	NLR family member X1	miRNA	mRNA	1	2
miR-29c-3p	OSTC	Human	92	oligosaccharyltransferase complex non-catalytic subunit	miRNA	mRNA	1	1
miR-29c-3p	NKIRAS2	Human	92	NFKB inhibitor interacting Ras like 2	miRNA	mRNA	1	1
miR-29c-3p	TFEB	Human	92	transcription factor EB	miRNA	mRNA	1	2
miR-29c-3p	DDX3X	Human	92	DEAD-box helicase 3 X-linked	miRNA	mRNA	2	2
miR-29c-3p	TMTC3	Human	92	transmembrane and tetratricopeptide repeat containing 3	miRNA	mRNA	1	1
miR-29c-3p	NKRF	Human	92	NFKB repressing factor	miRNA	mRNA	1	1
miR-29c-3p	EML6	Human	92	EMAP like 6	miRNA	mRNA	1	2
miR-29c-3p	DCX	Human	92	doublecortin	miRNA	mRNA	1	1
miR-29c-3p	FAM167A	Human	92	family with sequence similarity 167 member A	miRNA	mRNA	1	2
miR-29c-3p	BMT2	Human	92	base methyltransferase of 25S rRNA 2 homolog	miRNA	mRNA	1	1
miR-29c-3p	CPS1	Human	92	carbamoyl-phosphate synthase 1	miRNA	mRNA	1	1
